date,open_etf,close_etf,high_etf,low_etf,volume_etf,turnover,amplitude,pct_change,chg,turnover_rate,open_fut,high_fut,low_fut,close_fut,volume_fut,open_interest
2025-05-30,115.251,115.269,115.33,115.243,610366,7036935916.0,0.08,0.16,0.18,13.39,108.65,108.76,108.63,108.725,62469,164631
2025-06-03,115.31,115.283,115.323,115.271,712329,8213318684.0,0.05,0.01,0.014,15.62,108.7,108.75,108.65,108.685,42868,167327
2025-06-04,115.33,115.344,115.351,115.272,858989,9903513743.0,0.07,0.05,0.061,18.84,108.72,108.775,108.62,108.765,55709,170547
2025-06-05,115.35,115.341,115.394,115.31,522190,6023699935.0,0.07,0.0,-0.003,11.45,108.72,108.86,108.695,108.72,64481,169240
2025-06-06,115.397,115.462,115.465,115.386,756411,8731336268.0,0.07,0.1,0.121,16.59,108.82,108.93,108.81,108.925,54263,177112
2025-06-09,115.54,115.567,115.593,115.503,838437,9689356021.0,0.08,0.09,0.105,18.39,108.97,109.04,108.91,109.0,60635,182042
2025-06-10,115.585,115.529,115.594,115.506,744388,8602337141.0,0.08,-0.03,-0.038,16.32,109.0,109.03,108.945,108.995,47942,184969
2025-06-11,115.566,115.65,115.652,115.566,810932,9375669298.0,0.07,0.1,0.121,17.78,109.05,109.12,109.0,109.045,47080,187358
2025-06-12,115.659,115.594,115.67,115.592,772237,8930313047.0,0.07,-0.05,-0.056,16.93,109.05,109.08,108.96,108.995,49392,188181
2025-06-13,115.627,115.614,115.643,115.589,908937,10508585397.0,0.05,0.02,0.02,19.93,109.03,109.075,108.965,109.02,60457,191046
2025-06-16,115.655,115.644,115.675,115.616,635454,7349032927.0,0.05,0.03,0.03,13.94,109.04,109.095,108.98,109.015,49941,194978
2025-06-17,115.703,115.76,115.766,115.625,1039409,12025577672.0,0.12,0.1,0.116,22.79,109.0,109.17,108.965,109.16,69095,206159
2025-06-18,115.83,115.811,115.85,115.726,907875,10510564148.0,0.11,0.04,0.051,19.91,109.125,109.165,109.085,109.14,48250,203959
2025-06-19,115.898,115.851,115.9,115.826,696524,8069755307.0,0.06,0.03,0.04,15.27,109.17,109.19,109.1,109.135,46048,205808
2025-06-20,115.859,115.878,115.89,115.818,721686,8362171974.0,0.06,0.02,0.027,15.83,109.105,109.205,109.1,109.15,50456,212559
2025-06-23,115.956,115.888,115.956,115.866,819172,9492839405.0,0.08,0.01,0.01,17.96,109.16,109.19,109.095,109.155,49489,212428
2025-06-24,115.868,115.77,115.886,115.761,822752,9528467005.0,0.11,-0.1,-0.118,18.04,109.15,109.15,109.015,109.025,51169,207169
2025-06-25,115.799,115.69,115.806,115.678,695199,8048100379.0,0.11,-0.07,-0.08,15.25,109.04,109.115,108.935,108.995,73376,205081
2025-06-26,115.717,115.661,115.727,115.635,728838,8430600004.0,0.08,-0.03,-0.029,15.98,108.995,109.035,108.925,108.95,52163,202431
2025-06-27,115.7,115.778,115.806,115.663,742000,8586849107.0,0.12,0.1,0.117,16.27,108.98,109.1,108.955,109.045,68735,204393
2025-06-30,115.85,115.668,115.85,115.639,693311,8019262468.0,0.18,-0.1,-0.11,15.2,109.025,109.045,108.88,108.895,77133,196973
2025-07-01,115.776,115.781,115.798,115.681,851695,9858483756.0,0.1,0.1,0.113,18.68,108.925,109.01,108.91,109.005,63387,199030
2025-07-02,115.828,115.909,115.913,115.828,800385,9274350740.0,0.07,0.11,0.128,17.55,109.03,109.13,109.03,109.13,57955,206519
2025-07-03,115.921,115.945,115.949,115.909,999638,11589176925.0,0.03,0.03,0.036,21.92,109.15,109.155,109.0,109.105,64924,206020
2025-07-04,115.938,115.972,115.99,115.93,701971,8140736660.0,0.05,0.02,0.027,15.39,109.09,109.145,109.085,109.1,60839,214140
2025-07-07,115.996,115.973,115.996,115.964,754926,8755316927.0,0.03,0.0,0.001,16.56,109.125,109.175,109.085,109.105,49192,216298
2025-07-08,115.96,115.909,115.96,115.859,709927,8227714593.0,0.09,-0.06,-0.064,15.57,109.105,109.105,108.97,109.02,61895,208754
2025-07-09,115.929,115.879,115.94,115.819,753890,8734998408.0,0.1,-0.03,-0.03,16.53,109.02,109.05,108.96,109.05,59539,203681
2025-07-10,115.885,115.765,115.897,115.752,757322,8770308005.0,0.13,-0.1,-0.114,16.61,109.015,109.03,108.83,108.845,77570,202427
2025-07-11,115.738,115.745,115.774,115.651,1062872,12296942580.0,0.11,-0.02,-0.02,23.31,108.845,108.865,108.705,108.83,91046,197468
2025-07-14,115.69,115.639,115.695,115.613,672292,7774884110.0,0.07,-0.09,-0.106,14.74,108.775,108.78,108.655,108.73,69204,198439
